anchor,recommended,cosine_score
zara_14.jpg,zara_38.jpg,1324.7328
zara_14.jpg,zara_08.jpg,1275.7079
zara_14.jpg,zara_36.jpg,1260.2583
zara_15.jpg,zara_12.jpg,1875.9146
zara_15.jpg,zara_28.jpg,1843.4783
zara_15.jpg,zara_38.jpg,1795.4279
zara_15.jpg,zara_08.jpg,1728.3855
zara_15.jpg,zara_36.jpg,1708.2128
zara_16.jpg,zara_12.jpg,1806.1259
zara_16.jpg,zara_28.jpg,1779.9034
zara_16.jpg,zara_38.jpg,1732.4381
zara_16.jpg,zara_08.jpg,1664.1963
zara_16.jpg,zara_36.jpg,1649.2854
zara_17.jpg,zara_12.jpg,1870.5085
zara_17.jpg,zara_28.jpg,1843.7097
zara_17.jpg,zara_38.jpg,1794.4655
zara_17.jpg,zara_08.jpg,1723.5264
zara_17.jpg,zara_36.jpg,1708.4077
zara_18.jpg,zara_12.jpg,1198.8105
zara_18.jpg,zara_28.jpg,1177.9211
zara_18.jpg,zara_38.jpg,1147.2566
zara_18.jpg,zara_08.jpg,1104.533
zara_18.jpg,zara_36.jpg,1091.4958
zara_19.jpg,zara_12.jpg,1669.9463
zara_19.jpg,zara_28.jpg,1647.2789
zara_19.jpg,zara_38.jpg,1602.9843
zara_19.jpg,zara_08.jpg,1538.7531
zara_19.jpg,zara_36.jpg,1526.392
zara_20.jpg,zara_12.jpg,1250.4786
zara_20.jpg,zara_28.jpg,1232.6532
zara_20.jpg,zara_38.jpg,1199.7178
zara_20.jpg,zara_08.jpg,1152.2239
zara_20.jpg,zara_36.jpg,1142.197
zara_21.jpg,zara_12.jpg,1745.5973
zara_21.jpg,zara_28.jpg,1715.3546
zara_21.jpg,zara_38.jpg,1670.6548
zara_21.jpg,zara_08.jpg,1608.3175
zara_21.jpg,zara_36.jpg,1589.4911
zara_22.jpg,zara_12.jpg,1394.9485
zara_22.jpg,zara_28.jpg,1370.1287
zara_22.jpg,zara_38.jpg,1334.5697
zara_22.jpg,zara_08.jpg,1285.2312
zara_22.jpg,zara_36.jpg,1269.5999
zara_23.jpg,zara_12.jpg,1171.0294
zara_23.jpg,zara_28.jpg,1150.6558
zara_23.jpg,zara_38.jpg,1120.6936
zara_23.jpg,zara_08.jpg,1078.9374
zara_23.jpg,zara_36.jpg,1066.2311
zara_24.jpg,zara_12.jpg,1509.067
zara_24.jpg,zara_28.jpg,1487.4344
zara_24.jpg,zara_38.jpg,1447.709
zara_24.jpg,zara_08.jpg,1390.4888
zara_24.jpg,zara_36.jpg,1378.2808
zara_25.jpg,zara_12.jpg,1521.3523
zara_25.jpg,zara_28.jpg,1500.0414
zara_25.jpg,zara_38.jpg,1459.861
zara_25.jpg,zara_08.jpg,1401.8192
zara_25.jpg,zara_36.jpg,1389.9628
zara_26.jpg,zara_12.jpg,1766.631
zara_26.jpg,zara_28.jpg,1742.1488
zara_26.jpg,zara_38.jpg,1695.4224
zara_26.jpg,zara_08.jpg,1627.8301
zara_26.jpg,zara_36.jpg,1614.3002
zara_27.jpg,zara_12.jpg,1573.734
zara_27.jpg,zara_28.jpg,1553.049
zara_27.jpg,zara_38.jpg,1511.1365
zara_27.jpg,zara_08.jpg,1450.1139
zara_27.jpg,zara_36.jpg,1439.0758
zara_28.jpg,zara_12.jpg,2138.6257
zara_28.jpg,zara_38.jpg,2053.2854
zara_28.jpg,zara_08.jpg,1970.6207
zara_28.jpg,zara_36.jpg,1955.2919
zara_28.jpg,zara_31.jpg,1931.9952
zara_29.jpg,zara_12.jpg,1668.7274
zara_29.jpg,zara_28.jpg,1646.0706
zara_29.jpg,zara_38.jpg,1601.8102
zara_29.jpg,zara_08.jpg,1537.6295
zara_29.jpg,zara_36.jpg,1525.2728
zara_30.jpg,zara_12.jpg,1500.1576
zara_30.jpg,zara_28.jpg,1478.9286
zara_30.jpg,zara_38.jpg,1439.3646
zara_30.jpg,zara_08.jpg,1382.2849
zara_30.jpg,zara_36.jpg,1370.3973
zara_31.jpg,zara_12.jpg,1958.322
zara_31.jpg,zara_28.jpg,1931.9952
zara_31.jpg,zara_38.jpg,1879.9869
zara_31.jpg,zara_08.jpg,1804.4761
zara_31.jpg,zara_36.jpg,1790.2117
zara_32.jpg,zara_12.jpg,1524.4081
zara_32.jpg,zara_28.jpg,1503.1113
zara_32.jpg,zara_38.jpg,1462.8329
zara_32.jpg,zara_08.jpg,1404.636
zara_32.jpg,zara_36.jpg,1392.8055
zara_33.jpg,zara_12.jpg,1308.5688
zara_33.jpg,zara_28.jpg,1290.4167
zara_33.jpg,zara_38.jpg,1255.8262
